Id,Label,timeset,dominant_topic,color,color_cluster,pub_sum,label_size,node_size,modularity_class
18,"Ackoff, Russell L.",,H-Social (18),"#8D6E63","#A1887F",5,4,2,1
51,"Ajdukiewicz, Kazimierz",,A-Language (17),"#80CBC4","#53B6AC",6,6,2,2
75,"Aldrich, Virgil C.",,H-Philosophy (6),"#A1887F","#A1887F",3,3,2,2
254,"Ayer, A. J.",,E-Perception (10),"#F9D849","#FDF176",3,2,1,2
401,"Bateson, Gregory",,H-History (0),"#BCAAA4","#A1887F",2,2,1,1
460,"Behmann, Heinrich",,A-Language (17),"#80CBC4","#53B6AC",3,3,2,2
465,"Beishuizen, Thole",,H-History (0),"#BCAAA4","#A1887F",2,2,1,1
470,"Bell, E. T.",,A-Mathematical (15),"#53B6AC","#53B6AC",3,3,2,4
507,"Benjamin, A. Cornelius",,H-Philosophy (6),"#A1887F","#A1887F",7,5,2,6
516,"Bentley, Arthur F.",,H-Philosophy (6),"#A1887F","#A1887F",5,5,2,6
523,"Berdjajew, Nikolai",,H-Philosophy (6),"#A1887F","#A1887F",3,3,2,6
524,"Berenda, Carlton W.",,G-Particles (3),"#F3AA91","#EF8864",7,3,2,0
536,"Bergmann, Gustav",,A-Language (17),"#80CBC4","#53B6AC",19,15,4,2
547,"Bernays, Paul",,H-Philosophy (6),"#A1887F","#A1887F",4,2,1,6
568,"Beth, Evert W.",,H-Philosophy (6),"#A1887F","#A1887F",13,6,2,2
610,"Biser, Erwin",,H-Philosophy (6),"#A1887F","#A1887F",5,2,1,0
621,"Black, Max",,B-Arguments (22),"#97D8A3","#81C884",6,3,2,2
668,"Boerma, N. Westendorp",,H-History (0),"#BCAAA4","#A1887F",11,11,3,1
677,"Bohr, Niels",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,0
708,"Boodin, John Elof",,H-Philosophy (6),"#A1887F","#A1887F",3,3,2,6
760,"Bourgin, Georges",,H-History (0),"#BCAAA4","#A1887F",6,4,2,1
766,"Bowdery, George J.",,G-Particles (3),"#F3AA91","#EF8864",3,3,2,0
829,"Breysig, Kurt",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,1
832,"Bridgman, P. W.",,G-Particles (3),"#F3AA91","#EF8864",8,7,3,0
846,"Britzelmayr, Wilhelm",,A-Language (17),"#80CBC4","#53B6AC",2,2,1,2
877,"Brown, J. F.",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,6
897,"Brunswik, Egon",,E-Mind (11),"#FDF176","#FDF176",3,3,2,6
911,"Buber, Martin",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,1
964,"Burrow, Trigant",,E-Mind (11),"#FDF176","#FDF176",2,2,1,1
1080,"Carnap, Rudolf",,A-Language (17),"#80CBC4","#53B6AC",21,15,4,2
1131,"Cerf, Walter",,H-Philosophy (6),"#A1887F","#A1887F",3,3,2,6
1173,"Chestov, Leo",,H-History (0),"#BCAAA4","#A1887F",4,4,2,1
1210,"Churchman, C. W.",,H-Philosophy (6),"#A1887F","#A1887F",5,4,2,6
1211,"Churchman, C. West",,H-Social (18),"#8D6E63","#A1887F",13,7,3,6
1247,"Clay, J.",,H-Philosophy (6),"#A1887F","#A1887F",9,7,3,6
1342,"Copilowish, Irving M.",,A-Language (17),"#80CBC4","#53B6AC",2,2,1,2
1377,"Cowan, Thomas A.",,H-Philosophy (6),"#A1887F","#A1887F",5,3,2,6
1472,"Daan, Albert",,H-Philosophy (6),"#A1887F","#A1887F",6,6,2,6
1566,"De Hartog, A. H.",,H-Philosophy (6),"#A1887F","#A1887F",4,4,2,6
1651,"Denk, Franz",,H-Philosophy (6),"#A1887F","#A1887F",5,3,2,2
1662,"Destouches, Jean-Louis",,H-Philosophy (6),"#A1887F","#A1887F",8,4,2,6
1663,"Destouches-Février, Paulette",,H-Philosophy (6),"#A1887F","#A1887F",3,3,2,6
1668,"Deutsch, Karl Wolfgang",,E-Neurosciences (13),"#DCE875","#FDF176",2,2,1,1
1720,"Dingle, Herbert",,H-Classics (24),"#D8CCC7","#A1887F",12,2,1,6
1725,"Ditchburn, R. W.",,G-Quantum (14),"#EF8864","#EF8864",3,3,2,0
1765,"Dotterer, Ray H.",,H-Philosophy (6),"#A1887F","#A1887F",4,3,2,6
1797,"Driesch, Hans",,H-Philosophy (6),"#A1887F","#A1887F",7,7,3,6
1805,"Dubislav, Walter",,A-Language (17),"#80CBC4","#53B6AC",2,2,1,2
1808,"Ducasse, C. J.",,A-Language (17),"#80CBC4","#53B6AC",4,4,2,2
1859,"Dürr, Karl",,A-Language (17),"#80CBC4","#53B6AC",9,7,3,2
1947,"Emmet, Dorothy M.",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,6
1978,"Esch, W.",,H-History (0),"#BCAAA4","#A1887F",5,5,2,2
1983,"Esser, P. H.",,A-Language (17),"#80CBC4","#53B6AC",8,5,2,2
2056,"Feibleman, James K.",,H-Philosophy (6),"#A1887F","#A1887F",11,6,2,6
2057,"Feigl, Herbert",,H-Philosophy (6),"#A1887F","#A1887F",14,7,3,2
2094,"Feuer, Lewis S.",,H-Philosophy (6),"#A1887F","#A1887F",6,3,2,1
2142,"Fitch, Frederic B.",,A-Formal (4),"#B2DFDB","#53B6AC",6,3,2,3
2215,"Frank, Philipp G.",,H-Philosophy (6),"#A1887F","#A1887F",20,17,4,2
2253,"Freund, John E.",,C-Confirmation (20),"#DCEDC8","#AED681",2,2,1,2
2255,"Freundlich, E. Finlay",,H-Classics (24),"#D8CCC7","#A1887F",2,2,1,5
2279,"Fries, Horace S.",,H-Philosophy (6),"#A1887F","#A1887F",6,5,2,6
2293,"Fréchet, Maurice",,C-Probability (9),"#AED681","#AED681",2,2,1,2
2373,"Gasset, Jose Ortega Y.",,H-History (0),"#BCAAA4","#A1887F",2,2,1,1
2395,"Geiringer, Hilda",,C-Probability (9),"#AED681","#AED681",3,3,2,2
2408,"Gentry, George",,H-Philosophy (6),"#A1887F","#A1887F",3,3,2,6
2527,"Godefroy, J. C. L.",,H-History (0),"#BCAAA4","#A1887F",3,3,2,1
2562,"Gomperz, H.",,A-Language (17),"#80CBC4","#53B6AC",2,2,1,2
2565,"Gonseth, Ferdinand",,H-Philosophy (6),"#A1887F","#A1887F",3,3,2,6
2672,"Grelling, Kurt",,A-Language (17),"#80CBC4","#53B6AC",5,4,2,2
2699,"Groot, H.",,H-Philosophy (6),"#A1887F","#A1887F",18,18,4,6
2797,"Haldane, J. B. S.",,E-Evolution (5),"#FEFAC4","#FDF176",4,2,1,0
2804,"Hall, Everett W.",,A-Language (17),"#80CBC4","#53B6AC",2,2,1,2
2875,"Harding, T. Swann",,H-History (0),"#BCAAA4","#A1887F",3,3,2,1
2912,"Hartman, Robert S.",,H-Philosophy (6),"#A1887F","#A1887F",4,2,1,1
2918,"Hartshorne, Charles",,H-Philosophy (6),"#A1887F","#A1887F",4,3,2,6
2920,"Hartung, Frank E.",,H-Philosophy (6),"#A1887F","#A1887F",9,7,3,1
2922,"Hartzfeld, C. A. J.",,H-Philosophy (6),"#A1887F","#A1887F",4,4,2,6
3007,"Hempel, Carl G.",,A-Language (17),"#80CBC4","#53B6AC",23,11,3,2
3010,"Henderson, Fred.",,H-History (0),"#BCAAA4","#A1887F",2,2,1,1
3045,"Hertz, Paul",,A-Language (17),"#80CBC4","#53B6AC",5,5,2,2
3063,"Heyting, Arend",,A-Mathematical (15),"#53B6AC","#53B6AC",6,2,1,4
3096,"Hinshaw, Virgil G.",,H-Social (18),"#8D6E63","#A1887F",4,2,1,2
3168,"Hollitscher, Walter",,E-Mind (11),"#FDF176","#FDF176",2,2,1,1
3178,"Holstijn, A. J. Westerman",,H-History (0),"#BCAAA4","#A1887F",7,7,3,1
3215,"Hosiasson-Lindenbaum, Janina",,A-Language (17),"#80CBC4","#53B6AC",2,2,1,2
3318,"Ichheiser, Gustav",,E-Mind (11),"#FDF176","#FDF176",2,2,1,1
3434,"Jodjana, Raden Ajoe",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,6
3442,"Johnson, A. H.",,H-Philosophy (6),"#A1887F","#A1887F",4,4,2,6
3467,"Jones, Philip Chapin",,H-Philosophy (6),"#A1887F","#A1887F",5,5,2,6
3476,"Jordan, H. J.",,H-Philosophy (6),"#A1887F","#A1887F",5,5,2,6
3480,"Jordan, Pascual",,A-Language (17),"#80CBC4","#53B6AC",2,2,1,0
3492,"Juhos, Béla",,A-Language (17),"#80CBC4","#53B6AC",5,3,2,2
3505,"Jørgensen, Jørgen",,A-Language (17),"#80CBC4","#53B6AC",6,4,2,2
3548,"Kaplan, Oscar",,H-History (0),"#BCAAA4","#A1887F",2,2,1,1
3571,"Kattsoff, Louis Osgood",,A-Mathematical (15),"#53B6AC","#53B6AC",4,4,2,4
3589,"Kazemier, Brugt H.",,A-Language (17),"#80CBC4","#53B6AC",3,2,1,2
3614,"Kelsen, Hans",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,6
3615,"Kemble, Edwin C.",,H-Philosophy (6),"#A1887F","#A1887F",3,2,1,0
3713,"Klee, James B.",,E-Mind (11),"#FDF176","#FDF176",2,2,1,1
3757,"Koch, H.",,H-History (0),"#BCAAA4","#A1887F",4,4,2,1
3767,"Kokoszyńska, Marja",,A-Language (17),"#80CBC4","#53B6AC",2,2,1,2
3834,"Kraft, Julius",,A-Language (17),"#80CBC4","#53B6AC",2,2,1,2
3860,"Krikorian, Y. H.",,H-Philosophy (6),"#A1887F","#A1887F",3,2,1,6
3876,"Kruseman, W. M.",,H-Philosophy (6),"#A1887F","#A1887F",13,13,4,0
4017,"Lapan, Arthur",,H-Philosophy (6),"#A1887F","#A1887F",4,4,2,6
4088,"Lee, D. Demetracopoulou",,H-History (0),"#BCAAA4","#A1887F",2,2,1,1
4129,"Lenzen, Victor F.",,G-Quantum (14),"#EF8864","#EF8864",4,4,2,0
4134,"Lepley, Ray",,H-Philosophy (6),"#A1887F","#A1887F",3,3,2,6
4195,"Lillie, Ralph S.",,H-Philosophy (6),"#A1887F","#A1887F",10,10,3,0
4210,"Lindsay, R. B.",,G-Particles (3),"#F3AA91","#EF8864",3,3,2,0
4318,"Lundberg, George A.",,H-Social (18),"#8D6E63","#A1887F",2,2,1,1
4341,"Lévy-Bruhl, Henri",,H-History (0),"#BCAAA4","#A1887F",4,4,2,1
4443,"Malisoff, William Marias",,G-Particles (3),"#F3AA91","#EF8864",21,21,5,0
4475,"Mannoury, Gerrit",,H-History (0),"#BCAAA4","#A1887F",24,18,4,1
4498,"Margenau, Henry",,G-Quantum (14),"#EF8864","#EF8864",17,8,3,0
4619,"Mayer, Joseph",,H-History (0),"#BCAAA4","#A1887F",4,4,2,1
4734,"Meadows, Paul",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,1
4781,"Mercier, André",,H-Philosophy (6),"#A1887F","#A1887F",4,3,2,1
4788,"Merton, Robert K.",,H-Social (18),"#8D6E63","#A1887F",2,2,1,1
4795,"Metcalf, Wilmot V.",,H-Philosophy (6),"#A1887F","#A1887F",4,4,2,6
4801,"Meyer, Herman",,H-Philosophy (6),"#A1887F","#A1887F",5,5,2,2
4835,"Miller, Cecil H.",,H-Philosophy (6),"#A1887F","#A1887F",4,4,2,1
4837,"Miller, David L.",,H-Philosophy (6),"#A1887F","#A1887F",13,12,3,6
4877,"Mises, Richard V.",,C-Probability (9),"#AED681","#AED681",2,2,1,2
4966,"Morris, Charles W.",,A-Language (17),"#80CBC4","#53B6AC",11,9,3,2
5074,"Müller-Freienfels, Richard",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,6
5085,"Naess, Arne",,A-Language (17),"#80CBC4","#53B6AC",6,2,1,2
5091,"Nagel, Ernest",,A-Language (17),"#80CBC4","#53B6AC",8,7,3,2
5138,"Nelson, Everett J.",,C-Confirmation (20),"#DCEDC8","#AED681",3,3,2,2
5154,"Neurath, Otto",,A-Language (17),"#80CBC4","#53B6AC",17,17,4,2
5222,"Norris, O. O.",,H-Philosophy (6),"#A1887F","#A1887F",2,2,1,6
5230,"Northrop, F. S. C.",,G-Quantum (14),"#EF8864","#EF8864",2,2,1,0
