Id,Label,timeset,dominant_topic,color,color_cluster,pub_sum,pub_weighted,pub_w_4,filter_>=2,label_size,node_size,modularity_class,eigencentrality,clustering,triangles
3,"Abadía, Oscar Moro",,H-Social (18),"#8D6E63","#A1887F",2,,,,2,1,19,0.081421,0.744707,1231
11,"Abrams, Marshall",,E-Evolution (5),"#FEFAC4","#FDF176",7,,,,7,3,25,0.131105,0.978858,926
15,"Achinstein, Peter",,C-Confirmation (20),"#DCEDC8","#AED681",22,,,,4,2,15,0.022031,0.6,27
23,"Adam, Matthias",,C-Experiment (12),"#C5E2A5","#AED681",2,,,,2,1,22,0.006174,0.266667,4
25,"Adams, Ernest W.",,A-Formal (4),"#B2DFDB","#53B6AC",12,,,,2,1,12,0.030932,0.7139,529
28,"Adams, Marcus P.",,E-Mind (11),"#FDF176","#FDF176",3,,,,3,2,0,0,0,0
40,"Ahmed, Arif",,D-Agent-decision (8),"#DCE875","#DCE875",6,,,,5,2,24,0.021469,0.620199,436
47,"Ainsworth, Peter Mark",,G-Particles (3),"#F3AA91","#EF8864",5,,,,5,2,26,0.083205,0.516667,62
50,"Aizawa, Kenneth",,E-Neurosciences (13),"#DCE875","#FDF176",7,,,,6,2,13,0.019452,0.713012,400
53,"Akeroyd, F. Michael",,G-Particles (3),"#F3AA91","#EF8864",10,,,,4,2,13,0.001787,0.785714,22
60,"Alai, Mario",,B-Scientific-theory (1),"#66BC6A","#81C884",3,,,,3,2,22,0.013431,0.675403,335
66,"Albert, Max",,C-Probability (9),"#AED681","#AED681",4,,,,3,2,15,0.077748,0.718693,1188
77,"Alegre, María Caamaño",,C-Experiment (12),"#C5E2A5","#AED681",2,,,,2,1,9,0.007954,0.676471,92
82,"Alexander, Jason McKenzie",,D-Agent-decision (8),"#DCE875","#DCE875",8,,,,7,3,24,0.016221,0.819355,381
86,"Alexandrova, Anna",,C-Experiment (12),"#C5E2A5","#AED681",3,,,,3,2,9,0.012141,0.504274,177
87,"Alfano, Mark",,D-Agent-decision (8),"#DCE875","#DCE875",2,,,,2,1,24,0.051175,0.532468,123
95,"Allchin, Douglas",,H-Social (18),"#8D6E63","#A1887F",7,,,,4,2,19,0.051079,0.690958,512
96,"Allen, Colin",,E-Mind (11),"#FDF176","#FDF176",8,,,,3,2,13,0.013788,0.391304,99
98,"Allen-Hermanson, Sean",,B-Arguments (22),"#97D8A3","#81C884",2,,,,2,1,13,0.003541,0.602564,47
114,"Alper, Joseph S.",,G-Quantum (14),"#EF8864","#EF8864",5,,,,2,1,26,0.918809,0.866822,4465
116,"Alspector-Kelly, Marc",,B-Scientific-theory (1),"#66BC6A","#81C884",4,,,,4,2,22,0.02713,0.419048,44
127,"Ambrus, Valer",,H-Philosophy (6),"#A1887F","#A1887F",2,,,,2,1,19,0.019882,0.494737,94
133,"Andersen, Hanne",,H-Social (18),"#8D6E63","#A1887F",7,,,,6,2,19,0.080342,0.796633,1183
134,"Andersen, Holly K.",,F-Explanation (16),"#F7CD7F","#F4B74C",4,,,,4,2,13,0.019056,0.512698,323
151,"Andreas, Holger",,A-Formal (4),"#B2DFDB","#53B6AC",10,,,,9,3,12,0.004535,0.461538,42
